                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.43877,                0.33467,                0.95985,                0.71215,                0.62185,                0.66812,                0.57836,                0.76196,                  1.249,                 1.1428,               0.007954,               0.007954,               0.007954
                     64,                0.44303,                0.32807,                0.96052,                0.85787,                0.60712,                0.75072,                0.63682,                0.75795,                 1.2479,                 1.1463,               0.007921,               0.007921,               0.007921
                     65,                0.43242,                0.33123,                0.95438,                0.81528,                0.62385,                0.75353,                0.63168,                0.78175,                 1.1621,                  1.181,               0.007888,               0.007888,               0.007888
                     66,                0.42551,                 0.3218,                0.95606,                0.78013,                0.57612,                 0.7291,                0.62622,                0.77549,                 1.2127,                 1.1812,               0.007855,               0.007855,               0.007855
                     67,                0.43363,                 0.3284,                0.95754,                0.80357,                0.64868,                0.73974,                0.63033,                0.74238,                 1.1722,                 1.1453,               0.007822,               0.007822,               0.007822
                     68,                0.43116,                0.33141,                0.95536,                  0.833,                0.61946,                0.72307,                0.62367,                0.76636,                 1.1785,                 1.1584,               0.007789,               0.007789,               0.007789
                     69,                0.42168,                0.32311,                0.94843,                 0.8135,                0.67235,                0.75955,                0.65794,                0.77214,                 1.1791,                  1.156,               0.007756,               0.007756,               0.007756
                     70,                0.42541,                0.31639,                0.95436,                0.80037,                0.62025,                0.71436,                 0.6211,                0.78745,                 1.3114,                 1.1979,               0.007723,               0.007723,               0.007723
                     71,                0.41873,                 0.3143,                0.94931,                0.84149,                0.59886,                0.70969,                  0.614,                0.78013,                 1.2453,                 1.1783,                0.00769,                0.00769,                0.00769
                     72,                0.41664,                0.32002,                0.94688,                 0.7714,                0.63629,                0.71696,                0.60999,                 0.8186,                 1.3443,                  1.239,               0.007657,               0.007657,               0.007657
                     73,                0.40729,                0.30912,                0.94683,                0.76136,                 0.6393,                0.73594,                 0.6311,                0.80077,                 1.2035,                 1.1957,               0.007624,               0.007624,               0.007624
                     74,                 0.4114,                0.30797,                0.94787,                0.82709,                0.58864,                0.72733,                0.63285,                0.80501,                 1.2186,                 1.1981,               0.007591,               0.007591,               0.007591
                     75,                 0.4086,                0.30936,                0.94795,                0.79215,                0.62863,                0.74447,                0.64307,                0.74687,                 1.2514,                 1.1356,               0.007558,               0.007558,               0.007558
                     76,                0.40534,                0.30397,                0.93511,                0.79965,                0.59798,                 0.7293,                0.62412,                0.78256,                 1.3467,                 1.1716,               0.007525,               0.007525,               0.007525
                     77,                 0.4024,                0.30689,                0.94391,                0.79059,                0.63714,                0.73797,                0.64741,                0.74482,                 1.1406,                 1.1686,               0.007492,               0.007492,               0.007492
                     78,                0.39767,                0.30176,                0.93989,                0.81136,                0.62201,                0.74106,                0.64289,                 0.7548,                 1.1135,                 1.1682,               0.007459,               0.007459,               0.007459
                     79,                0.39466,                0.30321,                0.93682,                0.71439,                0.66952,                0.73739,                 0.6329,                0.77902,                 1.1132,                  1.167,               0.007426,               0.007426,               0.007426
                     80,                0.39361,                0.29764,                0.93612,                0.74859,                0.68483,                0.76626,                0.67107,                0.76741,                 1.1337,                 1.1764,               0.007393,               0.007393,               0.007393
                     81,                0.39527,                0.29983,                0.93802,                 0.8064,                0.62792,                0.73107,                0.64644,                0.75344,                  1.218,                 1.1755,                0.00736,                0.00736,                0.00736
                     82,                0.38595,                0.29623,                 0.9314,                 0.8054,                0.62404,                0.76138,                0.65985,                0.73048,                 1.1476,                 1.1454,               0.007327,               0.007327,               0.007327
                     83,                0.38254,                0.29621,                0.93328,                0.85532,                0.63378,                0.76016,                0.66915,                  0.745,                  1.292,                 1.1517,               0.007294,               0.007294,               0.007294
                     84,                 0.3834,                0.28751,                0.93475,                0.89686,                0.57095,                 0.7656,                0.66097,                0.75913,                 1.1966,                  1.177,               0.007261,               0.007261,               0.007261
                     85,                  0.385,                0.29031,                0.93494,                0.85795,                 0.6225,                0.77169,                0.67189,                0.75736,                 1.1068,                 1.1757,               0.007228,               0.007228,               0.007228
                     86,                0.38375,                0.29148,                0.93256,                    0.9,                0.58764,                0.74585,                0.65744,                0.75281,                 1.2265,                 1.1634,               0.007195,               0.007195,               0.007195
                     87,                0.39028,                0.29337,                0.93883,                0.85791,                 0.5843,                0.74234,                0.65008,                0.74838,                 1.2681,                 1.1744,               0.007162,               0.007162,               0.007162
                     88,                0.37716,                0.28812,                0.93169,                0.82092,                0.63899,                0.76275,                0.66913,                0.75353,                 1.2235,                 1.1819,               0.007129,               0.007129,               0.007129
                     89,                0.37779,                0.28504,                0.92983,                0.82548,                0.66484,                0.74674,                0.65989,                0.77767,                 1.2087,                 1.2015,               0.007096,               0.007096,               0.007096
                     90,                0.37676,                0.28631,                0.92868,                0.88891,                 0.6305,                0.77732,                0.67255,                0.75663,                 1.1217,                 1.1948,               0.007063,               0.007063,               0.007063
                     91,                0.37225,                 0.2851,                0.92523,                0.82431,                0.61837,                0.71896,                 0.6388,                0.76716,                 1.2624,                 1.1936,                0.00703,                0.00703,                0.00703
                     92,                0.36881,                0.28568,                0.92637,                0.87977,                0.63665,                0.76599,                0.67491,                0.77145,                 1.1637,                 1.1786,               0.006997,               0.006997,               0.006997
                     93,                0.36336,                0.28351,                0.92764,                0.78249,                0.67066,                0.75523,                0.65744,                0.74132,                 1.1417,                 1.1659,               0.006964,               0.006964,               0.006964
                     94,                0.36106,                0.27117,                 0.9227,                0.87014,                0.62728,                0.76521,                0.67786,                0.72933,                 1.1164,                 1.1532,               0.006931,               0.006931,               0.006931
                     95,                0.36344,                0.27948,                0.92168,                0.75047,                0.70214,                0.75079,                0.65771,                0.74119,                 1.2508,                 1.1561,               0.006898,               0.006898,               0.006898
                     96,                0.36259,                 0.2711,                0.92723,                 0.8878,                0.65758,                0.75865,                 0.6649,                0.73631,                 1.2707,                 1.1576,               0.006865,               0.006865,               0.006865
                     97,                0.36492,                0.27768,                0.92512,                0.88141,                0.62368,                0.75707,                0.66371,                0.76267,                 1.3249,                 1.1753,               0.006832,               0.006832,               0.006832
                     98,                0.36139,                0.27322,                0.92391,                0.90758,                 0.6093,                0.76767,                0.67597,                0.74376,                 1.2712,                 1.1612,               0.006799,               0.006799,               0.006799
                     99,                0.35844,                0.27072,                0.92383,                0.83524,                 0.5726,                0.73336,                  0.647,                0.75715,                 1.2876,                  1.169,               0.006766,               0.006766,               0.006766
